input_row_key,veridion_id,company_name,company_legal_names,main_country,main_country_code,main_region,main_city,revenue,employee_count,year_founded,main_sector,sics_codified_industry,website_url
12,fed105d4-93e4-11eb-9937-4fab995bf8ff,ACOME Company a Cooperative,ACOME GmbH,France,FR,Ile-de-France,Paris,655900032.0,3000.0,1932.0,Electronics & Appliances,Electrical & Electronic Equipment,https://www.acome.com/en
13,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Acome Xintai Cables Co. Ltd.,Acome Xintai Cables Co. Ltd.,China,CN,Beijing,Chaoyang,,,,,,
14,e8772100-93e4-11eb-b5f6-816dd10ac7b0,Adapt Agency,Adapt A/S.,Denmark,DK,Capital Region Of Denmark,Copenhagen,35819152.0,160.0,1998.0,Advertising & Marketing,Advertising & Marketing,https://adaptagency.com/
15,76ed93c2-93e4-11eb-8e19-198fb02d6f96,Crone & Co.,Crone & Co.,Denmark,DK,Capital Region Of Denmark,Kongens Lyngby,873785.0,4.0,2004.0,Advertising & Marketing,Professional & Commercial Services,https://croneandco.com/
16,410a4cc3-93e5-11eb-9937-4fab995bf8ff,Adecco Singapore,Adecco Personnel Pte Ltd.,Singapore,SG,Central,Singapore,,,,Other Professional Services,Professional & Commercial Services,http://www.adecco.com.sg/
17,a006c0ae-82d7-11ed-81b5-efac09e6a9d9,Adobe X 김씨네 과일,Adobe Systems Software Ireland Limited,,,,,,,,,,https://adobe-kimsfruits.com/
18,47b15560-93e5-11eb-91fb-73d498260b10,ADB,ADB Italia S.r.l. | Advanced Digital Broadcast SA.,Switzerland,CH,Geneva,Pregny-Chambésy,450000000.0,350.0,1995.0,Publishers & Media Companies,Telecommunication Services,https://www.adbglobal.com/
19,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Network Solutions Sdn. Bhd.,Advanced Network Solutions Sdn. Bhd.,Malaysia,MY,Selangor,Shah Alam,,,,,,
20,a9f7869f-93e4-11eb-97db-273ba5953680,Advansia,,Norway,NO,Oslo,Oslo,201516784.0,600.0,2010.0,Architecture & Engineering Services,Engineering & Construction Services,https://www.advansia.no/
21,2d7be421-93e5-11eb-be5a-4f810ab55f2e,Aeger Group,,Norway,NO,Oslo,Oslo,3709650.0,13.0,2012.0,IT&C Services,Software & IT Services,https://www.aeger.no/
22,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,Affirmed Networks,,United States,US,Massachusetts,Acton,75000000.0,120.0,2010.0,IT&C Services,,https://www.affirmednetworks.com/
23,475daed5-0c7d-11ec-b9ed-b7cae580407c,AGG Power,,China,CN,Fujian,Fuzhou City,5672347.0,85.0,,Electronics & Appliances,Industrial Machinery & Goods,http://aggpower.cn/
24,25f047fc-93e5-11eb-a736-0f5b20ecb2f1,AIA PRS,,Malaysia,MY,Kuala Lumpur,Kuala Lumpur,,,,Finance & Insurance,,http://www.aia-prs.com.my/en/help-and-support/contact-us.html
25,379975dc-93e5-11eb-90d2-e3355a7e800b,AIG Norge,AIG Europe S.A.,Norway,NO,Oslo,Oslo,28010168.0,20.0,1988.0,Finance & Insurance,Insurance,https://www.aig.no/
26,eab4a797-e56c-11ed-86c6-9fd2c95fb352,Aktieselskabet Rødovre Centrum,,Denmark,DK,Capital Region Of Denmark,Rødovre Municipality,,,,,,
27,19609053-0bbc-11ee-900c-9bee0d280070,A&O Shearman,Allen Overy Shearman Sterling LLP.,United Kingdom,GB,England,London,2400000000.0,5800.0,1930.0,Legal,Professional & Commercial Services,https://www.aoshearman.com/en
28,0a1c6e98-0ef3-11ec-8a5e-a1d19a176204,Ecogradia,Ecogradia Private Limited.,Singapore,SG,Central,Singapore,1560850.0,7.0,2021.0,Architecture & Engineering Services,Engineering & Construction Services,https://www.ecogradia.com/
29,6be202b0-a899-11ed-a9cf-ff6a091ebade,P o STER ART,WIX Amazon Web Services Inc.,United States,US,Washington,Seattle,340357.0,1.0,,Other Durable Products,Leisure Facilities,https://posterart.art/
30,d7db1d69-93e4-11eb-90d2-e3355a7e800b,TKBEL,Amazon Web Service EMEA SARL,Luxembourg,LU,Canton Diekirch,Ettelbruck,1091872.0,4.0,2020.0,Education,Software & IT Services,https://tkbel.fr/
31,005e54d5-fe34-11ed-a0e7-61d839268e35,Banh Mi XO,,Norway,NO,Oslo,Oslo,12928616.0,15.0,,Food & Beverages,Restaurants,https://www.banhmixo.no/
32,0e49a2f2-13c3-11ec-905e-ffe44897cbcf,Amdocs,,,,,,,,,IT&C Services,Telecommunication Services,http://xacct.net/
33,0078e966-93e5-11eb-b997-8dd98d09cf25,American Steakhouse,,Denmark,DK,,,752435.0,15.0,,Accommodation & Food Services,"Meat, Poultry & Dairy",https://butcher.dk/
34,d791fd63-e113-11ec-a72c-1538a9321a8e,American Express Company AS,,Norway,NO,Oslo,Oslo,,,,Finance & Insurance,,http://www.americanexpress.no/?opi=79508299&sa=U&ved=0ahUKEwiJ-N_liKSMAxX2TGwGHZRzErcQ61gIEigO&usg=AOvVaw27wLoj6gX0wm9eKmXSSFGk
35,e97d1f55-93e4-11eb-be3a-7f925cb94351,Analysys Mason,Analysys Mason Limited,Italy,IT,Lombardy,Milan,95000000.0,470.0,1985.0,Other Professional Services,Advertising & Marketing,https://www.analysysmason.com/
36,0320d8d1-0481-11ed-bbf3-154c5cd4a90a,Mason Transport & Logistics,MASON TRANSPORT & LOGISTICS LTD.,United Kingdom,GB,England,Birkenhead,,,,,,http://masontransportlogistics.com/
37,d7aa707f-93e4-11eb-9937-4fab995bf8ff,Andco A/S.,Andco A/S.,Denmark,DK,Capital Region Of Denmark,Copenhagen,16790228.0,75.0,,Advertising & Marketing,Advertising & Marketing,https://www.andco.dk/
38,bece9f0e-e4d2-11ec-a140-3f2eb8ef49f8,Annalect,,Denmark,DK,Capital Region Of Denmark,Copenhagen,16790228.0,75.0,,Advertising & Marketing,Advertising & Marketing,https://annalect-data.info/
39,02115b2b-65f6-11ef-a567-7774974824cc,Anne Mette Høy,,Denmark,DK,Region Of Southern Denmark,Vejle,,,,Health Care & Social Assistance,,http://mindre-stress.dk/?opi=79508299&sa=U&ved=0ahUKEwi4mfaSm-SMAxVfE1kFHS_HLHoQ61gIEigP&usg=AOvVaw21SI8OJlgK9_li2AWT-KF8
40,172e7ea7-0523-11ec-a64f-cb86dbe4969b,ANRITSU,,,,,,,,,Food & Beverages,"Meat, Poultry & Dairy",https://tiancunwu.com/
41,00854562-93e5-11eb-90d2-e3355a7e800b,Globe Tracker,Globe Tracker ApS. | Globe Tracker Singapore Pte. Ltd.,Denmark,DK,Capital Region Of Denmark,Copenhagen,15000000.0,75.0,2016.0,Transport & Warehousing,Engineering & Construction Services,https://www.globetracker.com/
42,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,Aon Norway,,Norway,NO,Oslo,Oslo,,82.0,,,,
43,53387611-2d31-11ed-90b3-690faa09a1a7,AppDynamics,,,,,,,,,IT&C Services,Software & IT Services,https://appdynamics.shop/
44,72b33d10-1afd-11ec-9842-212d1c52ad77,Apple Distribution International,,Ireland,IE,Munster,Cork,,,,,,
45,72b33d10-1afd-11ec-9842-212d1c52ad77,Apple Distribution International,,Ireland,IE,Munster,Cork,,,,,,
46,50c0e708-22bf-11ec-9024-ef7bc13965aa,Apple Malaysia Sdn Bhd.,Apple Malaysia Sdn Bhd.,Malaysia,MY,Kuala Lumpur,Kuala Lumpur,,,,,,
47,05227438-93e5-11eb-8859-29e7c34dee35,Asia biogas,Asia Biogas Co Ltd. | Asia Biogas Thailand Co. Ltd.,Thailand,TH,Bangkok,Pathum Wan,1774341.0,75.0,1999.0,Resources & Energy,Biofuels,http://www.asiabiogas.com/
48,0233ab52-aa7c-11ec-bce7-45193b30c3a8,Mixto As,,Norway,NO,Oslo,Oslo,1498524.0,3.0,2017.0,Other Capital Goods,Industrial Machinery & Goods,https://www.mixto.no/
49,2ea1cc81-6cec-11ec-b66d-cb87af2d682b,Arelion,,,,,,,1.0,,Blogs & Publications,Media & Entertainment,https://arelion.wordpress.com/
50,773f66c3-d1e9-11ee-a6c6-5f6c2747c12d,ARY SERVICES LIMITED,ARY SERVICES LIMITED,Pakistan,PK,,,,,,,,https://aryservices.com.pk/
51,c7288490-93e4-11eb-8859-29e7c34dee35,Ascio Technologies,Ascio Technologies Corp.,Denmark,DK,Capital Region Of Denmark,Copenhagen,5400000.0,71.0,1999.0,IT&C Services,Software & IT Services,https://www.ascio.com/
52,0054d420-11a8-11ec-a2c4-217a4c183987,Birk Denmark,Birk Denmark ApS.,Denmark,DK,Central Denmark Region,Skive Municipality,12539290.0,15.0,,Pharmaceuticals & Cosmetics,Household & Personal Products,https://birkdenmark.com/
53,431d0020-93e5-11eb-be5a-4f810ab55f2e,Atea Danmark,Atea ASA. | Atea Finans A/S.,Denmark,DK,Capital Region Of Denmark,Ballerup,14100000.0,1400.0,1968.0,IT&C Services,Hardware,http://www.atea.dk/
54,933da790-93e4-11eb-b5f6-816dd10ac7b0,Atea ASA.,Atea ASA.,Norway,NO,Oslo,Oslo,600000000.0,2500.0,1968.0,IT&C Services,Software & IT Services,https://www.atea.no/
55,717f28eb-2d3c-11ed-a1a2-799ac1ae4007,Faxe365,ATEA Sverige AB.,,,,,,1.0,,Blogs & Publications,Telecommunication Services,https://faxe365.com/
56,5e1eacfe-1af9-11ec-9211-addac7307e1d,Np International A/S.,Np International A/S.,Denmark,DK,Capital Region Of Denmark,Copenhagen,,,,,,
57,5f774202-8528-11ec-b5ad-0d28dc61df96,Trebolis,Atrebo S.L.,Spain,ES,Andalusia,Sevilla,6409361.0,75.0,,IT&C Services,Software & IT Services,https://www.trebolis.com/
58,0cc7acd4-0539-11ec-9e19-99693ec6a060,Aalborg Kloakservice,Aalborg Kloakservice ApS.,Denmark,DK,North Denmark Region,Svenstrup,3211252.0,15.0,,Architecture & Engineering Services,Engineering & Construction Services,https://aakloak.dk/
59,65315fc3-0695-11ef-a74a-2d2c9a18d857,Aviat Electric Store,,Bangladesh,BD,Mymensingh Division,Netrokona,,,,Electronics & Appliances,,
60,a3b73ba0-c4fc-11ec-b6cb-fdc55dfeae3a,Aviat Networks,,,,,,,,,IT&C Services,Telecommunication Services,https://aviatnetworks.wordpress.com/
61,85513392-93e4-11eb-90d2-e3355a7e800b,ISDF,,United Arab Emirates,AE,Sharjah Emirate,Sharjah,24793384.0,75.0,2012.0,Electronics & Appliances,Multiline and Specialty Retailers & Distributors,http://isdfuae.com/
62,79b2afc2-9ba7-11ec-81bb-a98020a63841,Axteq,Axteq ApS.,Denmark,DK,Region Zealand,Greve Strand,2726236.0,6.0,2007.0,IT&C Services,Telecommunication Services,https://axteq.dk/
63,eea35cb5-1206-11ec-a59d-d5061f333c7e,AZ Technology,AZ-Technology Sdn Bhd.,Malaysia,MY,Selangor,Petaling Jaya,11588822.0,75.0,,Electronics & Appliances,Telecommunication Services,https://az-tech.my/
64,3ea0da62-8ab7-11ec-ac1c-2de22eb6a532,BAE Systems Applied Intelligence,,United Kingdom,GB,England,Guildford,728200000.0,,1971.0,IT&C Services,,https://www.baesystemsdetica.com/
65,9c00c37e-6d04-11ee-b24b-eb147ec3ebc2,Basico P/S.,Basico P/S.,Denmark,DK,Capital Region Of Denmark,Gentofte Municipality,,,,Other Professional Services,,
66,73933609-0e76-11ec-907e-a76683593b73,Amon Tour,Flame BB Co. Ltd.,Thailand,TH,Krabi Province,,,,2016.0,Other Consumer Services,Leisure Facilities,https://amon-tour.com/en/
67,7d0a47e3-ff7e-11eb-845f-a19096e0da97,MAXITASK,BB TECHNOLOGY CO. LTD.,,,,,,75.0,,IT&C Services,Telecommunication Services,https://maxitask.com/
68,19b7bf64-6a16-11ec-b931-3729d84df188,BCD Engineering,BCD Engineering Pte Ltd.,Singapore,SG,Central,Singapore,18452336.0,75.0,,Construction,Electrical & Electronic Equipment,http://www.bcdglobal.com.sg/
69,7ea57014-93e4-11eb-8ad6-7326edce8d21,BCD Group,BCD Group N.V.,Netherlands,NL,Utrecht,Utrecht,8800000000.0,3000.0,1975.0,Other Consumer Services,Professional & Commercial Services,https://www.bcdgroup.com/
70,c62a45a0-6cf1-11ec-bd63-974170f7dbf6,Beat,Beat A/S.,Denmark,DK,Capital Region Of Denmark,Copenhagen,,,2003.0,Publishers & Media Companies,Advertising & Marketing,http://www.beat.dk/
71,d037a93e-18b9-11f0-94fa-471c68e22274,Beijing High-tech Dynamic Power Co. Ltd.,Beijing High-tech Dynamic Power Co. Ltd.,China,CN,Beijing,Fengtai District,,,,Electronics & Appliances,Fuel Cells & Industrial Batteries,https://htdp.com.cn/
72,1cdc1a43-6dce-11ec-a314-7d00415f726f,BigID,,United States,US,New York,New York,,,,IT&C Services,,https://bigid.me/
73,8bd572a1-01b3-11ef-a950-57d6400676e3,Binkies,,Netherlands,NL,South Holland,The Hague,604754.0,13.0,,Accommodation & Food Services,Leisure Facilities,https://binkiesdenhaag.nl/
74,0cb674d5-93e5-11eb-aa66-9b8d95e2171b,Blackwood Seven,Blackwood Seven A/S.,Denmark,DK,Capital Region Of Denmark,Copenhagen,2000000.0,38.0,2013.0,IT&C Services,Advertising & Marketing,https://blackwoodseven.com/
75,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,Blom Søefeldt - Erhvervspsykologisk Rådgivning,,Denmark,DK,Capital Region Of Denmark,Copenhagen,2699188.0,30.0,,Health Care & Social Assistance,,https://blomsoefeldt.dk/
76,f6ae0b86-93e4-11eb-91fb-73d498260b10,Boost,,Norway,NO,Rogaland,Sandnes,8000000.0,180.0,2016.0,IT&C Services,Professional & Commercial Services,https://boost.ai/
77,a80097e2-aeff-11ef-a550-45d601d5781f,Bording Dannmark A/S.,Bording Dannmark A/S.,Denmark,DK,Capital Region Of Denmark,Hvidovre Municipality,2055733.0,13.0,,"Arts, Entertainment & Recreation",Multiline and Specialty Retailers & Distributors,https://julemaerkelotteri.dk/
78,7f5697a9-93e4-11eb-8e19-198fb02d6f96,Braathens,Braathens International Airways AB.,,,,,,,1946.0,Transport & Warehousing,Airlines,https://www.braathens.com/
79,efc08410-93e4-11eb-a746-fdabd18be9c6,Brainchild Communications Pakistan,Brainchild Communications Pakistan Pvt Limited,Pakistan,PK,Sindh,Karachi Division,850985.0,160.0,1997.0,Advertising & Marketing,Advertising & Marketing,https://brainchild.net/
80,f6c033f6-93e4-11eb-8859-29e7c34dee35,Brobizz,Brobizz A/S.,Denmark,DK,Capital Region Of Denmark,Copenhagen,14588839.0,75.0,2008.0,Transport & Warehousing,Professional & Commercial Services,https://brobizz.com/
81,91a6c984-27a7-11ef-ba21-2b94af863263,Bundgaard Køleteknik A/S.,Bundgaard Køleteknik A/S.,Denmark,DK,Region Of Southern Denmark,Vejle,,,,Construction,,
82,2a0c38dd-93e5-11eb-8474-3bbe2d07207d,Bynder,Bynder BV. | Bynder Pty Ltd. | Bynder Limited,Netherlands,NL,North Holland,Amsterdam,100000000.0,600.0,2013.0,IT&C Services,Software & IT Services,https://www.bynder.com/en/
83,2d5be122-0a6a-11ec-b841-af64738d2bcd,CW Aero Services,CW Aero Services Pte Ltd.,Singapore,SG,Central,Singapore,10126821.0,25.0,2017.0,Other Capital Goods,Aerospace & Defense,https://cwaeroservices.com/
84,73d641b5-93e4-11eb-91fb-73d498260b10,Campana Group,Campana Group Private Limited,Singapore,SG,Southeast,,15000000.0,46.0,2014.0,IT&C Services,Telecommunication Services,https://campanaworks.com/
85,9dc12706-93e4-11eb-8e19-198fb02d6f96,CBRE Norway,,Norway,NO,Oslo,Oslo,74415251456.0,135000.0,2023.0,Real Estate,Real Estate,https://www.cbre.no/
86,57918a20-a8bb-11ed-9a6b-af642bb25f66,CBRE Teknisk servicepartner,CBRE Teknisk servicepartner A/S.,Denmark,DK,North Denmark Region,Aalborg,230000000.0,340.0,2007.0,Construction,Engineering & Construction Services,https://cbre-tekniskservicepartner.dk/
87,f0e66671-93e4-11eb-b4a6-27899be4e45d,Cellusys,Cellusys Limited,Ireland,IE,Leinster,Dublin,8500000.0,95.0,2004.0,IT&C Services,Telecommunication Services,https://www.cellusys.com/
88,0729a734-69ff-11ec-a83b-a57bf486820a,Centerforeningen for Nyvangsparken,,Denmark,DK,,,,,,Non Profit,,https://nyvangsparkens.dk/
89,ffcc1654-120e-11ec-8f83-091abf327b82,CETIN Hungary,CETIN Hungary Zrt.,Hungary,HU,Pest,Törökbálint,20422574.0,200.0,2020.0,IT&C Services,Telecommunication Services,https://cetin.hu/
90,26c39d80-93e5-11eb-be5a-4f810ab55f2e,China Telecom Global,Innovic Technology Corporation Limited,Hong Kong,HK,Hong Kong,Hong Kong Island,2400000.0,287076.0,2012.0,IT&C Services,Telecommunication Services,https://www.chinatelecomglobal.com/
91,bd5d453c-c0b6-11ec-985b-d74077f0fb21,China Unicom Singapore,,Singapore,SG,Central,Singapore,19471312.0,29.0,2009.0,IT&C Services,,
92,4db78ad2-c000-11ec-8d01-9b40ae94c55f,Chubb Global Risk Advisors,Chubb Global Risk Advisors Pte Ltd.,Singapore,SG,Central,Singapore,19513632.0,75.0,,Other Professional Services,Professional & Commercial Services,https://www.cgra.com.sg/
93,23947da4-93e5-11eb-a33a-a3dfba582839,Cibicom,Cibicom A/S. | Cibicom Services A/S.,Denmark,DK,Capital Region Of Denmark,Ballerup,71210440.0,150.0,,IT&C Services,,https://cibicom.com/
94,9cc86f27-93e4-11eb-8e19-198fb02d6f96,Ciena,,United Kingdom,GB,England,London,,,2009.0,IT&C Services,Telecommunication Services,https://www.ciena.in/
95,ced50c03-053f-11ec-9f27-3fe86a5559bb,Cisco Blue,Cisco Blue Limited.,United Kingdom,GB,,,7168688.0,15.0,1996.0,Construction,Engineering & Construction Services,https://ciscoblue.co.uk/
96,9efd3f68-c418-11ef-92e8-6df27b7ad8f3,Cisco Systems Norway AS,,Norway,NO,Viken,Bærum,,,,,,
97,14fe8332-93e5-11eb-8ad6-7326edce8d21,Citero,,Norway,NO,Trøndelag,Trondheim,3785642.0,40.0,2016.0,Advertising & Marketing,Professional & Commercial Services,http://citero.no/
98,def72ee7-93e4-11eb-aa66-9b8d95e2171b,ClouderaNOW24,Cloudera Singapore Pte Ltd. | Cloudera Inc.,United States,US,California,Santa Clara,,,,IT&C Services,Software & IT Services,http://greaterrichmondhomeloanconnect.com/
99,01fb2fa2-a7fa-11ef-9e6b-b90a330e89d5,CM Boost Studio,CM Boost Studio Sdn Bhd.,Malaysia,MY,Selangor,Subang Jaya,548715.0,15.0,,Advertising & Marketing,Advertising & Marketing,https://www.cmbooststudio.com/
100,bc123527-8bac-11ee-b27d-7f55bd54b676,Mecadliber,COMBA TELECOM HOLDING HK LIMITED,Hong Kong,HK,Hong Kong,Kowloon,,,,"Apparel, Accessories & Footwear",Industrial Machinery & Goods,https://mecadliber.store/
101,eb823b24-1e9c-11ee-918e-3b99085851a3,COMENGINEERING SDN BHD.,COMENGINEERING SDN BHD.,Malaysia,MY,Selangor,Subang Jaya,,,,,,
102,02bc49a3-93e5-11eb-b89f-536884b3e7dd,HOMENET,Home Network Solutions Singapore Pte Ltd.,Singapore,SG,Central,Singapore,33350486.0,75.0,2014.0,IT&C Services,Telecommunication Services,https://homenet.sg/
103,ff338e8e-b929-11ed-89f1-bd62b3e1c745,Commscope Technologies Ag,,Switzerland,CH,Zurich,Bachenbülach,,,,,,
104,0094d3b3-1b06-11ec-8d54-8181ab1eaaa9,CommScope,,United States,US,Nebraska,Omaha,,,,,,
105,8913e0f5-93e4-11eb-91fb-73d498260b10,Comviva Technologies,Comviva Technologies Limited,India,IN,Haryana,Gurugram,88700000.0,3300.0,1999.0,IT&C Services,Telecommunication Services,https://www.comviva.com/
106,16119325-f3c9-11ed-bdfe-9de54b3cad17,Conscia Holdco A/S.,Conscia Holdco A/S.,Denmark,DK,Capital Region Of Denmark,Brøndby,,,,,,
107,be890a78-9d75-11ed-816c-8fdd7f384ea6,Control Risks Group Holdings Ltd.,Control Risks Group Holdings Ltd.,United Kingdom,GB,England,London,107300000.0,,1975.0,,,https://www.controlrisks.net/
108,e48e4e11-93e4-11eb-919a-b3f9a5ad205c,Corporate Communications,,Norway,NO,Oslo,Oslo,27943802.0,83.0,2011.0,Advertising & Marketing,Professional & Commercial Services,https://corporatecommunications.no/
109,f62860c0-93e4-11eb-8e19-198fb02d6f96,Coupa,Coupa Software Inc.,United States,US,California,San Mateo,838000000.0,3076.0,2006.0,IT&C Services,Software & IT Services,https://www.coupa.com/
110,d6c603ec-93e4-11eb-b997-8dd98d09cf25,Coursera Inc.,Coursera Inc.,United States,US,California,Mountain View,,,,Legal,Professional & Commercial Services,https://translate-coursera.org/
111,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon A/S.,Crayon A/S.,Denmark,DK,Central Denmark Region,Silkeborg,,,,IT&C Services,,
112,a8683402-93e4-11eb-919a-b3f9a5ad205c,CRAYON,Crayon Deutschland GmbH,Norway,NO,Oslo,Oslo,2912310.0,8.0,2003.0,IT&C Services,Software & IT Services,https://rewired.no/
113,11ca0c36-93e5-11eb-b997-8dd98d09cf25,Crayon Digital Pte Ltd.,Crayon Digital Pte Ltd.,Singapore,SG,Central,Singapore,450432.0,2.0,,Advertising & Marketing,,https://crayondigital.net/
114,01be7de3-0c24-11ec-aa7c-a3d935d57c91,CrowdStrike,CrowdStrike Zero Trust,United States,US,California,Sunnyvale,,,2022.0,IT&C Services,Software & IT Services,https://www.mdcoin.net/
115,c7c58151-43ae-11ef-b5d2-e5c02fb4c089,Searcher,Searcher ApS.,Denmark,DK,Central Denmark Region,Aarhus,1933729.0,10.0,1997.0,Other Professional Services,Professional & Commercial Services,https://searcher.dk/
116,e8e82741-5871-11ec-b633-39790144a985,Cushman & Wakefield Services Thailand Co. Ltd.,Cushman & Wakefield Services Thailand Co. Ltd.,Thailand,TH,Bangkok,Ratchathewi,,,,Real Estate,,
117,1e999e70-93e5-11eb-91fb-73d498260b10,Dades,Dades A/S.,Denmark,DK,Capital Region Of Denmark,Kongens Lyngby,,,1937.0,Other Durable Products,Real Estate Services,https://dades.dk/
118,04d0828f-a79c-11ef-8415-1543cbb5e7b9,Revive by Notabene,,Denmark,DK,Capital Region Of Denmark,Copenhagen,,,,"Apparel, Accessories & Footwear","Apparel, Accessories & Footwear",https://www.revivebynotabene.dk/
119,a11480ae-2a2a-11ef-917e-edda38f44563,Daily Jurr'at,,,,,,,,,,,
120,070edae0-93e5-11eb-b4a6-27899be4e45d,Dansk Kredit Råd,,Denmark,DK,Region Zealand,Køge,2514085.0,15.0,,Non Profit,Consumer Finance,https://dk-r.dk/
121,1f89f1e3-93e5-11eb-b5f6-816dd10ac7b0,Dansk Sundhedssikring,Dansk Sundhedssikring A/S.,Denmark,DK,Capital Region Of Denmark,Herlev,7100000.0,210.0,2012.0,Finance & Insurance,Managed Care,http://ds-sundhed.dk/
122,c6eb5470-93e4-11eb-9937-4fab995bf8ff,Danske Bank,Danske Bank A/S.,Denmark,DK,Capital Region Of Denmark,Copenhagen,7549255680.0,20021.0,1871.0,Finance & Insurance,Commercial Banks,https://danskebank.com/
123,fdd5fee0-9bc7-11ec-abde-87ab8965fdf7,Dantec Nordics,DANTEC Nordics ApS.,Denmark,DK,Region Of Southern Denmark,Aabenraa Municipality,110845936.0,75.0,2018.0,Electronics & Appliances,Multiline and Specialty Retailers & Distributors,https://www.dantec-nordics.dk/
124,08e9dc7d-93e5-11eb-919a-b3f9a5ad205c,DEAS Group,DEAS A/S.,Denmark,DK,Capital Region Of Denmark,Frederiksberg,295469632.0,850.0,1989.0,Real Estate,,https://deas.dk/da
125,2840eeb8-93e5-11eb-8859-29e7c34dee35,Deko Style,,Denmark,DK,Central Denmark Region,Aarhus Municipality,2833310.0,20.0,2001.0,Advertising & Marketing,Advertising & Marketing,https://dekostyle.dk/
126,8647efa3-93e4-11eb-90d2-e3355a7e800b,Delfi Technologies,Delfi Technologies Ltd. | Skylabel - Delfi technologies A/S.,Denmark,DK,Region Zealand,Køge,16500000.0,170.0,1988.0,IT&C Services,Software & IT Services,https://www.delfi.com/en/
127,beddde1c-93e4-11eb-8859-29e7c34dee35,Dell,Dell Inc.,Norway,NO,Oslo,Oslo,,,,,,http://www.dell.no/?opi=79508299&sa=U&ved=0ahUKEwiSkpfC2KmMAxXBTDABHaXIFoIQ61gIFCgQ&usg=AOvVaw0kwchOCGTWXjKnv_NDR-y3
128,19b0d795-59c6-11ed-befb-0d84f255ed04,Dell,,Thailand,TH,Bangkok,Sathon,,,,,,
129,db126bb1-6d0e-11ec-bd4d-65aaf75c66b8,DELL Repairs,,Ireland,IE,Leinster,Dublin 7,900081.0,4.0,,Other Professional Services,Professional & Commercial Services,https://www.dellrepairs.ie/
